---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,630,3027,1695444840,2023-09-23T04:54:00Z,650810.547915901,5901847.18757623,3,0.333896441472864,0.909795343710775,0.217466645338108,0.195019055337678,650810.176489128,5901847.13857953,19
redshank,649.5,3027,1695444900,2023-09-23T04:55:00Z,650811.407175238,5901842.47246243,3,0.258933257162571,0.785630776882171,0.173298379814463,0.187327348267567,650810.886692256,5901842.5235984,20
redshank,669,3027,1695444960,2023-09-23T04:56:00Z,650812.432593039,5901842.64390307,3,0.411624467934268,1.11435403321919,0.244981651593038,0.23930419421703,650813.193525901,5901842.941769,19
redshank,688.5,3027,1695445020,2023-09-23T04:57:00Z,650816.552145877,5901843.01582899,3.1,0.338973185420036,1.16214190363884,0.264975392270537,0.271036044138808,650816.702377643,5901842.24130572,20
redshank,708,3027,1695445080,2023-09-23T04:58:00Z,650820.701548809,5901837.2463005,3,0.401450252929223,3.38161930681266,0.249169414925089,0.232827059978532,650820.687429228,5901837.9402478,19
redshank,726,3027,1695445140,2023-09-23T04:59:00Z,650817.787833789,5901835.63125435,3,0.395781681611877,3.81563110417561,0.598979063342283,0.618182418516014,650817.895653428,5901837.69074893,17
redshank,743.5,3027,1695445200,2023-09-23T05:00:00Z,650817.399624654,5901830.4608128,3.05555555555556,0.254819439885057,1.28753214412265,0.154992327448786,0.146774915534356,650817.296051189,5901832.78058812,18
redshank,761,3027,1695445260,2023-09-23T05:01:00Z,650819.442549589,5901827.57408059,3,0.341783074771657,1.23800682444061,0.292134310321924,0.286454041292331,650819.561186417,5901827.18335702,17
redshank,779.5,3027,1695445320,2023-09-23T05:02:00Z,650822.391228158,5901816.99542877,3,0.204113554060459,0.69819850742817,0.302840368739616,0.32681970343927,650822.62484367,5901817.20812204,20
redshank,799,3027,1695445380,2023-09-23T05:03:00Z,650816.599882703,5901809.19062116,3,0.298741458855838,1.160347346784,0.186824478591766,0.160570653992045,650816.397951482,5901809.41832889,19
redshank,818.5,3027,1695445440,2023-09-23T05:04:00Z,650812.280243165,5901805.80618403,3,0.220056695044041,0.806327883005143,0.232448011084897,0.250498135609666,650812.485025022,5901806.94009109,20
redshank,837.5,3027,1695445500,2023-09-23T05:05:00Z,650808.702575739,5901795.31069478,3,0.245470524570088,0.869161486625671,0.416869981487609,0.394384288785285,650808.7921787,5901795.25387599,18
redshank,855.5,3027,1695445560,2023-09-23T05:06:00Z,650802.454867832,5901790.35173488,3,0.207214246561498,0.652058758853394,0.274625209826045,0.273569482134793,650802.515653456,5901790.7096338,18
redshank,871.5,3027,1695445620,2023-09-23T05:07:00Z,650796.008846198,5901791.2322572,3,1.05083687329779,2.05615256757152,0.212436953502998,0.265313357638418,650796.826722007,5901790.76244074,14
redshank,887,3027,1695445680,2023-09-23T05:08:00Z,650788.489565773,5901791.97923665,3,0.307627333076767,0.622757167552169,0.212209216093648,0.194461047353824,650788.284783389,5901792.23924454,17
