tID,tideID,high_start_time,high_start_type,high_start_level,low_time,low_type,low_level,high_end_time,high_end_type,high_end_level
163,2023163,2023-03-25T22:50:00Z,HH,142,2023-03-26T05:20:00Z,HL,-77,2023-03-26T11:10:00Z,LH,94
164,2023164,2023-03-26T11:10:00Z,LH,94,2023-03-26T17:30:00Z,LL,-106,2023-03-26T23:30:00Z,HH,100
165,2023165,2023-03-26T23:30:00Z,HH,100,2023-03-27T05:50:00Z,HL,-75,2023-03-27T11:30:00Z,HH,102
166,2023166,2023-03-27T11:30:00Z,HH,102,2023-03-27T18:10:00Z,LL,-84,2023-03-27T23:50:00Z,LH,78
167,2023167,2023-03-27T23:50:00Z,LH,78,2023-03-28T06:30:00Z,HL,-97,2023-03-28T12:10:00Z,HH,66
168,2023168,2023-03-28T12:10:00Z,HH,66,2023-03-28T18:30:00Z,LL,-100,2023-03-29T00:30:00Z,LH,52
169,2023169,2023-03-29T00:30:00Z,LH,52,2023-03-29T06:20:00Z,HL,-67,2023-03-29T12:50:00Z,HH,92
170,2023170,2023-03-29T12:50:00Z,HH,92,2023-03-29T19:20:00Z,LL,-72,2023-03-30T01:20:00Z,LH,50
171,2023171,2023-03-30T01:20:00Z,LH,50,2023-03-30T06:40:00Z,LL,-38,2023-03-30T13:50:00Z,HH,101
172,2023172,2023-03-30T13:50:00Z,HH,101,2023-03-30T20:40:00Z,HL,-11,2023-03-31T02:10:00Z,LH,70
173,2023173,2023-03-31T02:10:00Z,LH,70,2023-03-31T08:20:00Z,LL,-25,2023-03-31T15:30:00Z,HH,116
174,2023174,2023-03-31T15:30:00Z,HH,116,2023-03-31T22:10:00Z,HL,-8,2023-04-01T04:30:00Z,HH,83
175,2023175,2023-04-01T04:30:00Z,HH,83,2023-04-01T10:40:00Z,LL,-36,2023-04-01T17:00:00Z,LH,82
176,2023176,2023-04-01T17:00:00Z,LH,82,2023-04-02T00:10:00Z,HL,-96,2023-04-02T05:30:00Z,LH,31
177,2023177,2023-04-02T05:30:00Z,LH,31,2023-04-02T12:10:00Z,LL,-113,2023-04-02T18:00:00Z,HH,47
178,2023178,2023-04-02T18:00:00Z,HH,47,2023-04-03T01:00:00Z,LL,-139,2023-04-03T06:30:00Z,LH,36
179,2023179,2023-04-03T06:30:00Z,LH,36,2023-04-03T13:00:00Z,HL,-135,2023-04-03T19:00:00Z,HH,53
180,2023180,2023-04-03T19:00:00Z,HH,53,2023-04-04T01:40:00Z,LL,-149,2023-04-04T07:40:00Z,LH,43
181,2023181,2023-04-04T07:40:00Z,LH,43,2023-04-04T13:50:00Z,HL,-126,2023-04-04T19:40:00Z,HH,80
182,2023182,2023-04-04T19:40:00Z,HH,80,2023-04-05T02:10:00Z,LL,-127,2023-04-05T08:10:00Z,LH,61
183,2023183,2023-04-05T08:10:00Z,LH,61,2023-04-05T14:20:00Z,HL,-126,2023-04-05T20:10:00Z,HH,82
184,2023184,2023-04-05T20:10:00Z,HH,82,2023-04-06T02:50:00Z,LL,-125,2023-04-06T08:40:00Z,LH,77
185,2023185,2023-04-06T08:40:00Z,LH,77,2023-04-06T15:00:00Z,HL,-112,2023-04-06T20:40:00Z,HH,99
186,2023186,2023-04-06T20:40:00Z,HH,99,2023-04-07T03:20:00Z,HL,-105,2023-04-07T09:00:00Z,LH,90
187,2023187,2023-04-07T09:00:00Z,LH,90,2023-04-07T15:30:00Z,LL,-107,2023-04-07T21:20:00Z,HH,99
188,2023188,2023-04-07T21:20:00Z,HH,99,2023-04-08T04:00:00Z,HL,-123,2023-04-08T09:40:00Z,LH,67
189,2023189,2023-04-08T09:40:00Z,LH,67,2023-04-08T16:10:00Z,LL,-135,2023-04-08T21:50:00Z,HH,82
190,2023190,2023-04-08T21:50:00Z,HH,82,2023-04-09T04:30:00Z,HL,-125,2023-04-09T10:10:00Z,LH,72
191,2023191,2023-04-09T10:10:00Z,LH,72,2023-04-09T16:40:00Z,LL,-131,2023-04-09T22:20:00Z,HH,78
192,2023192,2023-04-09T22:20:00Z,HH,78,2023-04-10T05:00:00Z,LL,-132,2023-04-10T10:50:00Z,LH,65
193,2023193,2023-04-10T10:50:00Z,LH,65,2023-04-10T17:00:00Z,HL,-118,2023-04-10T23:20:00Z,HH,97
194,2023194,2023-04-10T23:20:00Z,HH,97,2023-04-11T05:00:00Z,HL,-56,2023-04-11T11:20:00Z,HH,137
195,2023195,2023-04-11T11:20:00Z,HH,137,2023-04-11T17:40:00Z,LL,-75,2023-04-11T23:40:00Z,LH,97
196,2023196,2023-04-11T23:40:00Z,LH,97,2023-04-12T05:50:00Z,HL,-93,2023-04-12T11:50:00Z,HH,64
197,2023197,2023-04-12T11:50:00Z,HH,64,2023-04-12T18:00:00Z,LL,-100,2023-04-13T00:30:00Z,LH,79
198,2023198,2023-04-13T00:30:00Z,LH,79,2023-04-13T06:00:00Z,HL,-33,2023-04-13T12:10:00Z,HH,119
